
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,A5,157000,1,Tú,0999999999
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,A6,157000,1,Tú,0999999999
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,A3,10000,2,Bảo,0987654321
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,A4,10000,3,Quân Hà,0897654321
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,A5,10000,3,Quân Hà,0897654321
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,F7,13800,4,Việt Hoàng,0986754321
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,F8,13800,4,Việt Hoàng,0986754321
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,F9,13800,4,Việt Hoàng,0986754321
7,Tranformers,P06,Phòng 6,Thường,2025-04-29,6:00,F8,80500,5,Văn A,0998765432
7,Tranformers,P06,Phòng 6,Thường,2025-04-29,6:00,C7,70000,6,Văn B,0988765432
7,Tranformers,P06,Phòng 6,Thường,2025-04-29,6:00,C8,70000,6,Văn B,0988765432
7,Tranformers,P06,Phòng 6,Thường,2025-04-29,6:00,C9,70000,6,Văn B,0988765432
2,Conan Movie 26,P03,Phòng 3,IMAX,2025-04-29,10:00,A3,100000,7,Văn C,0876543210
3,Inside Out 2,P02,Phòng 2,Thường,2025-09-29,14:00,A4,80000,8,Thị A,0912345678
3,Inside Out 2,P02,Phòng 2,Thường,2025-09-29,14:00,A5,80000,9,Nguyễn Trung Kiên,0123456789
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D1,157000,10,Văn M,0698754321
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D2,157000,11,Văn N,0564789321
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D3,157000,12,Quốc Tuấn,0432516789
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D4,157000,13,Quốc Kang,0657894321
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,H5,13800,14,Sơn Tùng,0345621789
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D5,157000,15,Khôi Nguyên,0981237654
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D6,157000,16,Đức Tuân,0983467821
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D7,157000,17,Khánh Linh,0214376859
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D8,157000,18,Hoàng Linh,0476312986
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D9,157000,19,Hoàng Hải,0123499876
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D10,157000,20,Trà Mi,0374658932
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D11,157000,21,Văn S,0432576899
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D12,157000,22,Văn D,0547839451
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D13,157000,23,Thị E,0435657382
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D14,157000,24,Thị H,0453728856
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,D15,157000,25,Thị X,0555463728
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,E8,10000,26,Tuấn Dũng,0437277865
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,E7,10000,27,Mono,0645454563
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,E6,10000,28,Đức Dũng,0535364739
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,E9,10000,29,MaiLisa,0686868686
5,BảoGPT,P04,Phòng 4,IMAX,2025-11-17,9:40,E10,10000,30,Đăng Quang,0911059106
1,Avengers: Endgame,P01,Phòng 1,IMAX,2025-04-30,10:00,E3,157000,31,Duy Lê,0657488834
8,Together,P07,Phòng 7,3D,2025-04-29,22:00,E7,75000,32,Hải Triều,0999999988
8,Together,P07,Phòng 7,3D,2025-04-29,22:00,E8,75000,33,Khánh An,0954663547
